user_id,topic_id,days_since_last_review,repetitions,ease_factor,recalled_correctly
89,77,3,0,2.5,1
90,16,10,0,2.5,0
307,0,11,0,2.5,0
172,94,4,0,2.5,0
36,80,10,0,2.5,0
260,2,26,0,2.5,0
17,42,28,0,2.5,0
275,76,16,0,2.5,0
275,0,29,0,2.5,0
444,7,15,0,2.5,0
493,66,25,0,2.5,0
56,85,16,0,2.5,0
298,16,20,0,2.5,0
67,93,10,0,2.5,0
460,35,23,0,2.5,0
83,59,20,0,2.5,0
170,88,11,0,2.5,0
160,76,25,0,2.5,0
415,37,7,0,2.5,0
404,35,9,0,2.5,0
32,65,15,0,2.5,0
438,94,15,0,2.5,0
405,14,14,0,2.5,0
155,54,17,0,2.5,0
357,59,26,0,2.5,0
395,10,13,0,2.5,0
214,66,22,0,2.5,0
418,70,27,0,2.5,0
277,5,10,0,2.5,0
169,97,7,0,2.5,1
30,32,20,0,2.5,0
203,56,29,0,2.5,0
275,33,17,0,2.5,0
164,83,24,0,2.5,0
374,87,15,0,2.5,0
187,53,15,0,2.5,0
213,12,13,0,2.5,0
338,29,17,0,2.5,0
380,57,20,0,2.5,0
341,1,16,0,2.5,0
67,30,19,0,2.5,0
486,10,3,0,2.5,0
35,45,8,0,2.5,0
292,16,24,0,2.5,0
232,11,9,0,2.5,0
298,92,19,0,2.5,1
301,91,13,0,2.5,0
161,89,2,0,2.5,1
240,41,15,0,2.5,0
390,40,2,0,2.5,0
134,43,6,0,2.5,0
93,85,2,0,2.5,1
161,37,30,0,2.5,0
381,85,25,0,2.5,0
136,95,27,0,2.5,0
77,97,29,0,2.5,0
98,57,1,0,2.5,0
19,77,9,0,2.5,0
169,13,15,0,2.5,0
378,26,2,0,2.5,1
476,94,11,0,2.5,0
248,80,2,0,2.5,1
44,39,25,0,2.5,0
294,90,8,0,2.5,0
275,14,20,0,2.5,0
19,58,26,0,2.5,0
234,97,6,0,2.5,0
201,86,2,0,2.5,0
397,20,21,0,2.5,0
66,11,26,0,2.5,0
235,67,23,0,2.5,0
225,61,27,0,2.5,0
418,89,27,0,2.5,0
49,14,14,0,2.5,0
320,4,3,0,2.5,0
67,42,7,0,2.5,0
309,51,23,0,2.5,0
281,9,21,0,2.5,0
460,94,15,0,2.5,0
61,98,10,0,2.5,0
379,60,12,0,2.5,0
402,79,30,0,2.5,0
188,97,23,0,2.5,0
128,22,4,0,2.5,0
486,72,24,0,2.5,0
386,49,29,0,2.5,0
122,36,7,0,2.5,1
78,22,27,0,2.5,0
195,5,29,0,2.5,0
191,78,20,0,2.5,0
322,96,16,0,2.5,0
465,32,23,0,2.5,0
469,61,10,0,2.5,0
423,12,30,0,2.5,0
174,17,26,0,2.5,0
499,5,26,0,2.5,0
443,31,25,0,2.5,0
93,35,17,0,2.5,0
125,90,28,0,2.5,0
3,10,25,0,2.5,1
85,77,30,0,2.5,0
304,1,21,0,2.5,0
0,92,25,0,2.5,0
62,90,17,0,2.5,0
418,6,1,0,2.5,1
64,64,9,0,2.5,1
359,5,1,0,2.5,1
286,5,6,0,2.5,1
460,56,19,0,2.5,0
199,99,24,0,2.5,0
227,44,7,0,2.5,0
388,20,29,0,2.5,0
338,82,15,0,2.5,0
483,92,13,0,2.5,0
489,4,16,0,2.5,0
198,20,8,0,2.5,0
35,49,2,0,2.5,1
295,57,3,0,2.5,0
423,3,3,0,2.5,0
424,13,17,0,2.5,0
290,53,7,0,2.5,0
239,38,12,0,2.5,0
284,50,22,0,2.5,0
261,87,2,0,2.5,1
496,49,15,0,2.5,0
261,48,28,0,2.5,0
411,53,27,0,2.5,0
27,56,21,0,2.5,0
377,18,2,0,2.5,0
10,57,30,0,2.5,0
371,58,11,0,2.5,0
118,84,1,0,2.5,1
36,57,13,0,2.5,0
22,31,25,0,2.5,0
246,58,21,0,2.5,0
398,8,29,0,2.5,0
21,41,13,0,2.5,0
200,26,12,0,2.5,0
151,45,12,0,2.5,0
190,39,19,0,2.5,0
48,90,11,0,2.5,0
398,40,22,0,2.5,0
180,40,19,0,2.5,0
46,36,29,0,2.5,0
85,63,26,0,2.5,0
167,87,10,0,2.5,0
289,29,21,0,2.5,0
9,65,24,0,2.5,0
62,17,15,0,2.5,0
193,61,25,0,2.5,0
99,36,15,0,2.5,0
236,22,24,0,2.5,0
400,7,5,0,2.5,1
182,74,29,0,2.5,0
78,21,17,0,2.5,0
313,57,14,0,2.5,0
199,88,27,0,2.5,0
274,94,10,0,2.5,1
12,11,29,0,2.5,0
108,90,14,0,2.5,0
177,57,3,0,2.5,0
339,72,4,0,2.5,0
102,48,28,0,2.5,0
233,42,5,0,2.5,0
67,61,2,0,2.5,0
15,26,5,0,2.5,0
347,78,9,0,2.5,0
389,27,10,0,2.5,1
236,43,5,0,2.5,0
464,71,11,0,2.5,0
242,5,26,0,2.5,0
174,27,24,0,2.5,0
451,66,19,0,2.5,0
107,12,24,0,2.5,0
449,47,27,0,2.5,0
107,28,18,0,2.5,0
158,7,16,0,2.5,0
409,21,1,0,2.5,1
180,31,13,0,2.5,0
242,36,7,0,2.5,1
190,14,18,0,2.5,0
329,77,6,0,2.5,0
374,49,23,0,2.5,0
402,20,2,0,2.5,1
284,35,9,0,2.5,0
38,38,12,0,2.5,0
496,31,19,0,2.5,0
137,41,22,0,2.5,0
248,79,6,0,2.5,0
420,13,20,0,2.5,0
458,80,2,0,2.5,0
148,70,30,0,2.5,0
170,21,27,0,2.5,0
254,47,7,0,2.5,0
258,21,19,0,2.5,0
112,88,1,0,2.5,1
91,39,26,0,2.5,0
381,61,26,0,2.5,0
410,43,24,0,2.5,0
410,35,26,0,2.5,0
233,14,7,0,2.5,0
153,68,24,0,2.5,0
475,93,12,0,2.5,0
218,76,28,0,2.5,0
184,90,30,0,2.5,0
169,11,26,0,2.5,0
78,41,29,0,2.5,0
301,44,23,0,2.5,0
240,25,8,0,2.5,0
296,81,20,0,2.5,0
493,0,15,0,2.5,0
287,70,8,0,2.5,0
272,37,24,0,2.5,0
497,56,22,0,2.5,0
347,3,3,0,2.5,1
32,7,7,0,2.5,0
210,77,5,0,2.5,1
142,62,11,0,2.5,0
496,45,20,0,2.5,0
157,17,8,0,2.5,0
243,74,2,0,2.5,1
76,77,22,0,2.5,0
1,77,2,0,2.5,1
57,55,28,0,2.5,0
493,69,30,0,2.5,0
367,90,4,0,2.5,0
389,97,2,0,2.5,1
9,38,12,0,2.5,0
110,32,16,0,2.5,0
305,40,12,0,2.5,0
337,80,2,0,2.5,0
120,45,26,0,2.5,0
444,99,24,0,2.5,0
121,76,13,0,2.5,0
470,33,2,0,2.5,1
86,98,21,0,2.5,0
28,71,26,0,2.5,0
345,57,15,0,2.5,0
254,44,11,0,2.5,0
62,41,9,0,2.5,0
402,29,26,0,2.5,0
77,42,20,0,2.5,0
390,14,29,0,2.5,0
409,6,18,0,2.5,0
187,22,26,0,2.5,0
242,91,27,0,2.5,0
128,35,9,0,2.5,1
381,35,13,0,2.5,0
84,37,11,0,2.5,0
411,61,26,0,2.5,0
314,74,10,0,2.5,0
165,89,1,0,2.5,1
172,82,10,0,2.5,0
277,47,28,0,2.5,0
360,57,28,0,2.5,0
47,17,26,0,2.5,0
165,88,11,0,2.5,0
265,2,5,0,2.5,0
20,56,17,0,2.5,0
90,71,2,0,2.5,0
435,59,29,0,2.5,0
64,7,16,0,2.5,0
79,83,21,0,2.5,0
446,61,26,0,2.5,0
391,17,22,0,2.5,0
471,90,6,0,2.5,0
243,93,6,0,2.5,1
